id,name,description,price,category,sales,stock,rating,features
P001,Jabra Elite 4,Wireless earbuds ideal for workouts,129,earphones,2300,45,4.5,"noise-cancelling,water-resistant,8-hour-battery"
P002,Logitech M350,Silent wireless mouse for office,29,mouse,1500,120,4.2,"ergonomic,quiet-click,2-year-battery"
P003,Anker PowerCore,Portable power bank 10000mAh,39,charging,3200,85,4.7,"fast-charging,compact,multiple-ports"
P004,Apple Watch SE,Fitness watch with health tracking,249,watch,4200,30,4.8,"heart-rate,gps,water-resistant"
P005,Sony WH-1000XM4,Noise cancelling headphones,349,headphones,1800,25,4.9,"active-noise-cancelling,30-hour-battery,bluetooth-5.0"
P006,Samsung Galaxy Buds Pro,True wireless earbuds,199,earphones,1500,40,4.6,"active-noise-cancelling,water-resistant,wireless-charging"
P007,Microsoft Surface Mouse,Ergonomic wireless mouse,59,mouse,800,60,4.3,"bluetooth,ergonomic,precision-tracking"
P008,Belkin 3-in-1 Charger,Wireless charging station,89,charging,950,50,4.4,"fast-wireless-charging,multiple-devices,compact"
P009,Garmin Venu 2,Fitness smartwatch,299,watch,1200,35,4.7,"gps,heart-rate,music-storage"
P010,Apple AirPods Pro,Active noise cancelling earbuds,249,earphones,2800,55,4.8,"active-noise-cancelling,spatial-audio,water-resistant"
P011,Razer DeathAdder V3,Gaming mouse with precision,79,mouse,950,40,4.6,"30k-dpi,ergonomic,rgb-lighting"
P012,Sony WF-1000XM4,Premium noise cancelling earbuds,279,earphones,1100,35,4.7,"industry-leading-anc,8-hour-battery,ldac"
P013,Anker Wireless Charger,Fast wireless charging pad,25,charging,2100,90,4.3,"10w-fast-charging,qi-certified,case-friendly"
P014,Fitbit Versa 3,Health and fitness smartwatch,199,watch,1800,45,4.5,"6-day-battery,built-in-gps,alexa-built-in"
P015,Bose QuietComfort 45,Wireless noise cancelling headphones,329,headphones,1200,20,4.8,"world-class-anc,24-hour-battery,triport-acoustics"